GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Frederick,de.turnertech.frederick.gui.tray,FrederickTrayIcon,29,0,2,0,12,0,7,0,6,0
Frederick,de.turnertech.frederick.gui.tray,FrederickTrayIconPopupMenu,73,0,0,0,19,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.tray,FrederickTrayIconActionListener,37,0,8,0,10,0,6,0,2,0
Frederick,de.turnertech.frederick.gui.map,MapFrame,74,0,0,0,22,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.status,StatusBarLogHandler,13,0,0,0,7,0,4,0,4,0
Frederick,de.turnertech.frederick.gui.status,StatusBar,44,0,0,0,11,0,2,0,2,0
Frederick,de.turnertech.frederick.gui,InstantCellRenderer,39,0,2,0,7,0,4,0,3,0
Frederick,de.turnertech.frederick.gui.etb,FrederickEtbFrame,49,0,0,0,12,0,2,0,2,0
Frederick,de.turnertech.frederick.gui.etb,FrederickEtbTableColumnModel,56,0,0,0,17,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.etb,EtbFrameTable,51,0,0,0,12,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.etb,EtbTableModel,132,0,22,0,38,0,21,0,10,0
Frederick,de.turnertech.frederick.gui.etb,EtbFrameMainPanel,23,0,0,0,6,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.etb,EtbFrameTextEntry,59,0,4,0,16,0,6,0,4,0
Frederick,de.turnertech.frederick.gui.etb,EtbTableSelectionModel,6,0,0,0,3,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.etb,FrederickEtbFrameEventListener,10,0,0,0,5,0,2,0,2,0
Frederick,de.turnertech.frederick.gui.etb,EtbFrameTableNotesArea,81,0,4,0,23,0,7,0,5,0
Frederick,de.turnertech.frederick,Logging,30,4,0,0,9,1,1,1,1,1
Frederick,de.turnertech.frederick,Application,119,0,4,0,50,0,11,0,9,0
Frederick,de.turnertech.frederick,Resources,78,39,15,3,24,12,15,3,6,3
Frederick,de.turnertech.frederick,Printing,21,0,2,0,10,0,4,0,3,0
Frederick,de.turnertech.frederick,Database,357,0,20,0,95,0,26,0,16,0
Frederick,de.turnertech.frederick,Serialization,68,0,2,0,17,0,4,0,3,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentTablePane,25,0,0,0,7,0,2,0,2,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentTable,19,0,0,0,6,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentTableModel,113,0,14,0,33,0,14,0,7,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentFrame,51,0,0,0,12,0,1,0,1,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentToolBar,318,0,28,0,85,0,17,0,3,0
Frederick,de.turnertech.frederick.gui.deployments,DeploymentTableSelectionModel,6,0,0,0,3,0,1,0,1,0
Frederick,de.turnertech.frederick.data,SaveTimerTask,6,0,0,0,3,0,2,0,2,0
Frederick,de.turnertech.frederick.data,EtbEntry,71,0,6,0,26,0,14,0,11,0
Frederick,de.turnertech.frederick.data,Deployment,21,0,0,0,8,0,4,0,4,0
Frederick,de.turnertech.frederick.printing,DeploymentPrintout,23,0,2,0,7,0,3,0,2,0
